Any,Mes,Precip_acum,Temp_Media
2018,1,63.6,10.5
2018,2,104.6,6.7
2018,3,112.5,10.8
2018,4,83.0,14.7
2018,5,30.3,17.1
2018,6,53.1,21.5
2018,7,51.5,25.3
2018,8,36.5,25.8
2018,9,44.4,22.5
2018,10,201.9,17.0
2018,11,201.8,12.4
2018,12,4.8,11.1
2019,1,18.2,8.1
2019,2,4.6,11.9
2019,3,0.3,13.5
2019,4,36.2,13.4
2019,5,109.0,15.6
2019,6,19.3,21.9
2019,7,75.8,25.4
2019,8,23.1,25.1
2019,9,71.5,21.8
2019,10,83.2,18.5
2019,11,39.4,11.9
2019,12,119.2,11.2
2020,1,89.3,10.0
2020,2,2.8,12.8
2020,3,61.6,11.9
2020,4,258.7,14.3
2020,5,29.2,19.4
2020,6,69.1,20.1
2020,7,23.1,25.0
2020,8,12.4,25.5
2020,9,60.2,21.7
2020,10,23.1,16.4
2020,11,52.5,14.7
2020,12,41.5,9.3
2021,1,26.2,7.7
2021,2,26.5,11.6
2021,3,7.7,12.1
2021,4,62.7,12.9
2021,5,13.4,17.3
2021,6,7.8,23.3
2021,7,9.0,24.8
2021,8,8.3,24.5
2021,9,23.3,23.0
2021,10,63.2,18.1
2021,11,75.9,11.3
2021,12,3.8,10.9
2022,1,12.3,10.2
2022,2,1.9,11.8
2022,3,89.5,10.8
2022,4,38.9,14.1
2022,5,20.0,20.7
2022,6,9.5,24.7
2022,7,2.7,26.7
2022,8,67.9,27.2
2022,9,13.1,22.5
2022,10,11.3,20.7
2022,11,7.6,15.2
2022,12,33.0,12.6
